Name,X,Y,ObsWL,SimWL,Residual,pt_size,color
371891N1210504W001,673046.2968,4117630.1410000003,131.53,151.43,-19.900000000000006,5.460941604639093,#008cff
366616N1200613W001,762661.4681,4061357.618,70.88,50.987,19.893000000000004,5.4601569479111385,#ff6a00
372582N1205979W001,713021.3662,4126220.262999998,103.23499999999997,83.34599999999999,19.889000000000003,5.459708510654032,#ff6a00
389304N1218843W001,596706.2964999988,4309644.740000007,6.756335877862597,26.644122137404583,-19.887786259541983,5.459572430126231,#008cff
380326N1212855W001,650467.3217999961,4210819.328999997,-32.98313953488372,-13.09667774086379,-19.886461794019944,5.459423930735891,#008cff
357811N1199674W001,774115.186,3963913.5209999993,368.4971428571429,388.3764285714286,-19.87928571428571,5.45861926096922,#008cff
368357N1206572W001,708917.2999,4079207.833,-6.178750000000001,13.695,-19.87375,5.457998429788867,#008cff
371771N1210143W001,676278.7738000003,4116365.2299999977,115.18086956521732,135.04543478260868,-19.8645652173913,5.456968164278415,#008cff
358175N1199599W001,774667.8328000004,3967973.517000001,417.50916666666666,397.64708333333334,19.862083333333334,5.456689728187653,#ff6a00
397836N1220461W001,581681.7589000005,4404174.497999997,129.71710144782608,149.5613043478261,-19.8442029,5.454683254733157,#008cff
366361N1203452W001,737359.2222999999,4057787.7879999997,158.91285714285712,139.07571428571427,19.837142857142847,5.453890754962772,#ff6a00
370618N1204232W001,729109.1629000002,4104834.230999999,39.40235294117646,19.565882352941177,19.836470588235297,5.4538152844763665,#ff6a00
377355N1208516W001,689310.4776999997,4178641.6389999995,94.04500000000002,74.218,19.826999999999998,5.452751958059196,#ff6a00
385315N1212254W001,654679.5260000004,4266281.203999997,39.28312499999999,59.1053125,-19.8221875,5.452211529116737,#008cff
385047N1213636W001,642685.7344000001,4263083.701999994,-33.165438596491235,-13.353508771929826,-19.81192982456141,5.451059404744157,#008cff
375949N1213261W001,647774.1197999998,4162187.0129999975,53.539285714285725,73.34178571428572,-19.802500000000002,5.45,#008cff
363128N1198291W001,784696.5899,4023311.4729999998,134.32999999999998,114.52916666666668,19.800833333333344,5.449812730141949,#ff6a00
403929N1222945W003,559874.9436000003,4471605.647,385.3869642857143,405.1842857142857,-19.79732142857143,5.449418099995934,#008cff
393054N1215973W002,620940.7895999999,4351605.921000003,49.34374999999999,69.13576923076923,-19.792019230769238,5.4488222296209186,#008cff
358086N1192326W001,840443.3509000007,3969273.8560000025,228.1599999999999,208.37156249999995,19.788437500000004,5.448419663206249,#ff6a00
352161N1188609W001,876814.6179,3904864.9949999996,123.0,142.76666666666665,-19.76666666666667,5.445971959725642,#008cff
399456N1220399W002,582019.5275000007,4422160.623000001,198.12912036944442,217.87625000000008,-19.747129630555555,5.443774255129929,#008cff
367344N1205135W001,722026.1306999997,4068291.7,263.98727272727274,244.24090909090907,19.746363636363636,5.443688066951104,#ff6a00
392394N1216509W001,616428.4206000004,4344210.7629999975,68.53916666666667,48.809666666666665,19.729499999999998,5.4417901796460395,#ff6a00
361375N1200391W001,766431.2705,4003261.3009999995,118.5242857142857,138.23857142857142,-19.714285714285715,5.44007721940573,#008cff
370663N1204779W001,724231.5289000004,4105203.0349999974,43.5225,23.817499999999992,19.705000000000005,5.439031425885607,#ff6a00
389694N1219259W002,593049.4023000001,4313929.430999995,6.996625954198474,26.686946564885492,-19.690320610687024,5.437377672757529,#008cff
367198N1203693W001,734949.1661,4067015.862999999,162.91666666666669,143.24444444444447,19.672222222222228,5.435337892677651,#ff6a00
385608N1212491W001,652551.6780999999,4269493.1389999995,37.92,57.574666666666666,-19.654666666666667,5.433358395919133,#008cff
372235N1205793W001,714769.6088000002,4122411.854000001,96.80838709677424,116.44935483870968,-19.64096774193548,5.431813143842538,#008cff
363703N1194577W001,817820.4290999996,4030851.709000002,179.6966666666667,199.3358333333333,-19.639166666666668,5.431609940717557,#008cff
363447N1202643W001,745512.6805,4025656.972,235.3,254.895,-19.595000000000013,5.426623995778274,#008cff
367050N1205324W001,720422.2531000002,4064985.8729999983,19.414285714285715,-0.16571428571428767,19.58,5.424929377967517,#ff6a00
361247N1203613W001,737470.6020000001,4001004.745,424.15,404.57,19.579999999999984,5.424929377967516,#ff6a00
373060N1209563W001,681119.3933000001,4130777.031000002,48.77000000000001,68.3492,-19.5792,5.424838980121198,#008cff
362667N1194546W001,818520.6070999998,4019363.945999999,186.7386296296296,206.30074074074085,-19.56211111111111,5.422907540420793,#008cff
370513N1204738W001,724640.3656999994,4103548.260000001,38.82586206896551,19.266206896551726,19.55965517241379,5.422629893221203,#ff6a00
354061N1195188W001,816152.2611999997,3923648.0600000015,219.6330769230769,200.0926923076923,19.540384615384617,5.420450725365527,#ff6a00
367490N1204510W001,727564.8209,4070058.515,208.81,189.28,19.53,5.419275958796871,#ff6a00
373605N1206504W001,708082.5732000003,4137454.917999999,90.63575000000003,110.11083333333333,-19.475083333333334,5.413058274409407,#008cff
356022N1191956W001,844677.4689,3946495.513000001,104.53680851063837,124.00617021276598,-19.469361702127657,5.412409965328205,#008cff
372518N1206157W001,711460.4932999995,4125470.1470000013,91.78714285714285,72.32657142857143,19.46057142857143,5.411413767554731,#ff6a00
350714N1192282W001,843968.7788999998,3887472.115000001,167.05111111111106,186.50166666666667,-19.45055555555555,5.410278398871839,#008cff
375860N1209027W001,685178.3700999992,4161950.256000003,75.91063829787235,95.35723404255319,-19.44659574468085,5.409829446212274,#008cff
352161N1191118W001,853961.0329,3903940.273,227.86,208.415,19.445000000000007,5.409648512069869,#ff6a00
363164N1195399W001,810656.9593000001,4024602.1139999996,169.88285714285712,189.31714285714287,-19.434285714285704,5.408433476223238,#008cff
374493N1206671W001,706359.5399000001,4147271.9259999995,72.04461538461543,91.46788461538462,-19.423269230769233,5.40718382085082,#008cff
356531N1191656W001,847176.2080999998,3952250.4940000004,112.62898876404486,93.21550561797748,19.41348314606742,5.406073438569473,#ff6a00
373102N1206324W001,709816.8689,4131913.2369999997,107.20633333333332,126.60666666666667,-19.400333333333332,5.40458094866394,#008cff
373532N1206888W001,704701.1796999999,4136560.886000003,82.00637037037038,101.38444444444445,-19.37807407407408,5.402053392914956,#008cff
377427N1213943W001,641471.9898,4178481.2910000007,1.6831428571428577,21.041428571428572,-19.358285714285717,5.399805190492611,#008cff
380209N1213574W001,644179.7655999997,4209407.119000002,-20.345454545454544,-0.9959090909090904,-19.34954545454545,5.3988118230432915,#008cff
388957N1218611W002,598765.3616999988,4305818.805000006,6.50179487179487,25.847606837606843,-19.345811965811965,5.398387427888995,#008cff
394635N1218276W001,600855.8668000002,4368869.620000003,83.11419913415585,102.45259740259743,-19.338398268441555,5.397544572649782,#008cff
375463N1210929W001,668472.6541,4157187.020000001,41.18666666666667,60.514999999999986,-19.328333333333333,5.396400042458981,#008cff
373671N1207879W001,695886.6299000006,4137892.9099999974,76.66666666666669,95.97433333333333,-19.307666666666663,5.394049005947323,#008cff
367369N1206360W001,711079.1067,4068291.9489999996,115.12,95.82499999999999,19.29500000000001,5.392607426119481,#ff6a00
381227N1212388W001,654376.5018999996,4220894.004000002,-15.096981132075465,4.180943396226414,-19.277924528301885,5.390663335795844,#008cff
