NAME	X	Y	Element	BOS	TOS	Layer
C_375543N1205677W001	714853.2943	4159145.605	18105	-304.4974409	15.54520997	-1
C_375555N1211696W001	661677.6643	4158072.568	16484	-484.1613648	-250.6449606	-1
C_375560N1212513W001	654459.5984	4157990.605	16096	-243.1866929	-49.70211286	-1
C_375574N1207560W001	698209.6948	4159075.589	18094	-32.08667979	12.35	-1
C_375588N1210113W001	675653.7143	4158722.918	17527	-22.69729659	68.82698163	1
C_375610N1206535W001	707254.6417	4159696.302	18100	-248.1114567	-20.5087664	-1
C_375610N1212624W001	653468.825	4158527.201	16009	-312.898937	-50.48062992	-1
C_375614N1212602W001	653662.3262	4158575.18	16009	-256.7	-31.70656168	-1
C_375618N1207318W001	700335.7368	4159615.18	18016	-209.8420997	-119.8250394	-1
C_375627N1205446W001	716869.741	4160130.843	18106	-264.881916	65.72471129	-1
C_375643N1205979W001	712156.8563	4160186.647	18103	-303.3617848	-66.64229659	-1
C_375649N1209396W001	681972.4892	4159536.269	17920	-87.25146982	71.27379265	-1
C_375652N1204366W001	726402.6782	4160663.172	18195	-358.6867192	-12.07451444	-1
C_375652N1209757W001	678783.1295	4159500.233	17820	-61.22929134	-14.90448819	-1
C_375655N1211021W001	667617.9797	4159300.455	17086	-181.6188058	-55.98855643	-1
C_375655N1211207W001	665975.1304	4159267.428	16982	-249.0419029	-121.8384908	-1
C_375657N1206304W001	709282.0803	4160269.079	18101	-224.64	-40.64524934	-1
C_375660N1209007W001	685405.7433	4159734.403	18007	-40.69759843	61.88573491	-1
C_375660N1209196W001	683736.3549	4159697.263	17922	-84.7333727	56.95855643	-1
C_375663N1208660W001	688469.9623	4159836.756	18009	-66.94019685	46.13230971	-1
C_375663N1209577W001	680370.3719	4159656.704	17819	-113.937664	78.74015748	-1
C_375674N1207066W001	702546.6138	4160290.644	18018	-274.315	-74.32156168	-1
C_375680N1207254W001	700884.4214	4160316.843	18017	-256.3160236	-122.5181234	-1
C_375707N1212488W001	654650.0336	4159625.789	16098	-273.819685	-110.1021654	-1
C_375713N1206624W001	706439.9941	4160819.668	18020	-224.792021	28.68730971	-1
C_375713N1209752W001	678812.7028	4160178.052	17820	-2.56	7.44	-1
C_375732N1210146W001	675328.4404	4160314.594	17528	-85.73305774	62.09272966	-1
C_375738N1206546W001	707122.0008	4161114.265	18020	-200.2566667	25.10356955	-1
C_375738N1209271W001	683054.7996	4160548.127	17922	-98.955	92.55287402	-1
C_375785N1205099W001	719888.5569	4161964.885	17954	-234.7562861	98.73485564	-1
C_375788N1209585W001	680269.5626	4161042.196	17825	-97.67843832	-0.842480315	-1
C_375791N1209960W001	676957.1775	4161004.154	17821	-59.74093176	-2.797690289	1
C_375796N1208196W001	692534.1213	4161406.71	17928	-226.64	37.36262467	-1
C_375843N1207307W001	700372.5743	4162114.274	18015	-284.5784908	-110.9498819	-1
C_375852N1207371W001	699804.9932	4162200.503	18015	-250.1863648	-114.7227822	-1
C_375893N1206618W001	706443.2483	4162818.412	17942	-206.63	19.36737533	-1
C_375902N1211846W001	660278.2076	4161897.12	16490	-415.5564042	-228.5787139	-1
C_375921N1206954W001	703468.626	4163055.752	17940	-237.436273	-42.45530184	-1
C_375932N1205685W001	714670.842	4163460.503	17949	-220.5986877	30.46364829	-1
C_375932N1206474W001	707703.9766	4163282.958	17942	-175.9475853	-57.52927822	-1
C_375938N1209002W001	685380.9288	4162820.173	17830	-34.09065617	-9.752729659	1
C_375943N1207741W001	696513.6904	4163132.186	17932	-24.63	-4.61687664	-1
C_375949N1212196W001	657177.9985	4162359.45	16215	-324.8391864	-195.9697638	-1
C_375949N1213061W001	649541.0384	4162218.147	15846	-405.2332808	-196.4836089	-1
C_375952N1206752W001	705243.7657	4163443.735	17941	-154.9685827	22.5176378	-1
C_375985N1209841W001	677961.8563	4163179.31	17823	-73.11133858	-22.25143045	2
C_376013N1209838W001	677981.6691	4163490.573	17693	-77.24010499	-24.66300525	2
C_376030N1207396W001	699536.6609	4164170.392	17852	-228.3552362	-122.5117323	-1
C_376041N1206807W001	704733.7297	4164419.336	17858	-104.0529396	22.96838583	-1
C_376066N1208141W001	692950.0764	4164414.064	17931	-86.62	21.67527559	-1
C_376071N1207766W001	696259.3028	4164547.321	17934	-203.62	63.36031496	-1
C_376074N1206943W001	703524.0462	4164755.943	17856	-147.4954593	-31.462979	-1
C_376085N1208927W001	686006.517	4164466.18	17832	-137.738622	-27.46992126	-1
C_376127N1208427W001	690409.6904	4165032.525	17578	-339.61	26.38737533	-1
C_376127N1209321W001	682518.1293	4164854.855	17560	-98.50355643	-37.01339895	-1
C_376127N1213219W001	648110.7814	4164168.129	15847	-351.6015223	-159.7649081	-1
C_376130N1211307W001	664986.9503	4164520.386	17288	-22.7	12.3	-1
C_376143N1212335W001	655910.2707	4164488.858	16014	-293.6646719	-159.8546325	-1
C_376146N1206718W001	705490.564	4165603.959	17741	-83.4684252	3.170682415	-1
C_376149N1212478W001	654646.8257	4164531.77	16015	-313.2327165	-172.1336352	-1
C_376163N1210188W001	674856.5791	4165089.203	17301	-95.83589239	-47.06850394	2
C_376166N1213330W001	647123.3341	4164583.4	15752	-393.1423753	-143.4527428	-1
C_376180N1206343W001	708791.3196	4166064.061	17860	-154.0556562	-51.87127297	-1
C_376180N1210941W001	668206.3282	4165140.171	17292	-89.9	50.09212598	-1
C_376188N1207193W001	701286.2586	4165967.036	17731	-142.7993045	-59.63198163	-1
C_376191N1210499W001	672105.0444	4165342.39	17298	-0.5	15.49475066	-1
C_376218N1207282W001	700492.6139	4166280.877	17731	-131.4275853	-52.30750656	-1
C_376227N1206666W001	705927.2298	4166514.208	17741	-111.4060892	-36.80897638	-1
C_376316N1210043W001	676100.3281	4166814.048	17303	-125.682021	-59.04947507	2
C_376357N1211593W001	662413.0512	4166989.27	16999	-110.5976903	9.910839895	-1
C_376360N1208618W001	688664.7449	4167579.415	17318	-180.6625066	-24.81703412	-1
C_376416N1207760W001	696221.5067	4168376.918	17445	-113.6	-21.59212598	-1
C_376443N1208474W001	689914.3366	4168529.497	17223	-187.59	-145.1214961	-1
C_376444N1213980W001	641333.6519	4167568.061	15575	-547.91	-362.0710892	-1
C_376470N1213162W001	648545.5942	4167982.979	15757	-625.18	-211.183937	-1
C_376582N1210141W001	675172.9847	4169747.294	17024	-201.3187533	-81.15110236	2
C_376596N1206896W001	703796.2669	4170558.693	17331	-11	28.98818898	-1
C_376668N1208043W001	693658.8255	4171114.421	17226	-77.16087927	41.26497375	-1
C_376671N1210810W001	669251.0929	4170611.936	17019	-52.35587927	16.89772966	-1
C_376674N1213612W001	644535.8595	4170176.174	15578	-619.7516404	-291.6528871	-1
C_376677N1213058W001	649421.6433	4170296.335	15761	-525.1538058	-261.7660105	-1
C_376680N1213267W001	647577.6326	4170296.509	15669	-636.7512861	-269.6502362	-1
C_376696N1208443W001	690123.3054	4171343.212	17133	-9.933845144	98.26825459	-1
C_376735N1214069W001	640493.5547	4170783.522	15493	-291.3729003	-228.664895	-1
C_376738N1209846W001	677738.164	4171533.862	16918	-220.123622	-57.2148294	-1
C_376810N1213508W001	645426.6026	4171701.286	15580	-621.2562073	-191.2384908	-1
C_376816N1208088W001	693223.4771	4172747.437	17135	-52.58985564	80.49085302	-1
C_376818N1208338W001	691018.1684	4172718.357	17035	53.18278215	157.3478084	-1
C_376818N1208627W001	688469.4432	4172659.819	17033	-80.18040682	46.45509186	-1
C_376841N1210699W001	670191.3203	4172518.395	16910	-175.6	-83.58950131	-1
C_376870N1213648W001	644180.3873	4172345.396	15580	-542.4852756	-214.5902625	-1
C_376885N1208735W001	687500.1053	4173381.615	17032	-110.2502887	18.28514436	-1
C_376885N1209804W001	678073.4384	4173173.002	16918	-296.3296325	-52.58455381	-1
C_376913N1208527W001	689327.1894	4173734.162	17034	-8.55164042	82.19114173	-1
C_376913N1210324W001	673481.5007	4173386.115	16805	-175.9482677	-74.74748031	-1
