name	clus_1	clus_2	clus_3	clus_4	clus_5	memb	i.cluster	subregion
C_350533N1189356W001	0.780106564	0.188533317	0.001115089	0.029982807	0.000262225	1	1	sub19sub20sub21
C_350589N1191392W001	0.904203715	0.09568612	6.6325E-06	9.99432E-05	3.5891E-06	1	1	sub19sub20sub21
C_350589N1191721W001	0.999999992	4.8E-09	1.2E-09	2E-10	1.7E-09	1	1	sub19sub20sub21
C_350594N1190216W001	0.991463037	0.000278899	0.001107691	3.71894E-05	0.007113183	1	1	sub19sub20sub21
C_350600N1189259W001	0.049909661	0.949969501	2.46757E-05	8.75412E-05	8.6221E-06	2	2	sub19sub20sub21
C_350606N1188737W001	0.996922368	0.002931144	5.97598E-05	4.81572E-05	3.85718E-05	1	1	sub19sub20sub21
C_350611N1190924W001	0.981019341	0.017988688	6.28573E-05	0.000911467	1.76477E-05	1	1	sub19sub20sub21
C_350667N1188431W001	0.999963748	3.60572E-05	6.08E-08	6.61E-08	6.81E-08	1	1	sub19sub20sub21
C_350667N1189848W001	0.093752932	0.412130393	0.062427014	0.411576813	0.020112849	2	2	sub19sub20sub21
C_350697N1190170W001	0.944515626	0.054360276	0.000262276	0.000727425	0.000134396	1	1	sub19sub20sub21
C_350705N1190132W001	0.963925028	0.035831341	6.24741E-05	0.000119789	6.13675E-05	1	1	sub19sub20sub21
C_350719N1191246W001	0.999960564	2.49313E-05	7.3857E-06	1.3424E-06	0.000005777	1	1	sub19sub20sub21
C_350722N1191316W001	0.999749625	0.000107605	9.82899E-05	4.2272E-06	4.02532E-05	1	1	sub19sub20sub21
C_350747N1189003W001	1.99783E-05	0.996625097	7.41268E-05	0.003130531	0.000150267	2	2	sub19sub20sub21
C_350750N1188828W001	0.979196514	0.020744936	7.4563E-06	4.65528E-05	4.5408E-06	1	1	sub19sub20sub21
